[Header],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041305,130.0374908,25.43466568,1.27E-05,6.58E-09,1,5,14.00089645,4.998335289,36.12000123,0.01652828,0.002464275,1,-2.42E-08,,,,,,,,,,,,,,,,,,,,,130.0374908,130.0374908,25.43466568,25.43466568,49.73814919,5.768220833,7.158138275,70,1,0,0,1,0.316009521,32.74682236,2,1,1,130.0374908,0,130.0374908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041336,135.0319672,25.43466568,1.26E-05,6.17E-09,1,5,14.00089645,4.998378727,36.12999991,0.016398415,0.00244606,1,-2.31E-08,,,,,,,,,,,,,,,,,,,,,135.0319672,135.0319672,25.43466568,25.43466568,49.73502268,5.767874561,7.180103302,70,1,0,0,1,0.319061279,32.25806427,2,1,1,135.0319672,0,135.0319672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041366,140.0095978,25.43466568,1.25E-05,5.70E-09,1,5,14.00089645,4.99835531,36.15000099,0.016315151,0.00243999,1,-1.83E-08,,,,,,,,,,,,,,,,,,,,,140.0095978,140.0095978,25.43466568,25.43466568,49.69359637,5.768534831,7.194082737,70,1,0,0,1,0.318603516,32.74682236,2,1,1,140.0095978,0,140.0095978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041396,145.0264893,25.43466568,1.24E-05,6.07E-09,1,5,14.00089645,4.998291498,36.15999967,0.016242548,0.002423868,1,-2.21E-08,,,,,,,,,,,,,,,,,,,,,145.0264893,145.0264893,25.43466568,25.43466568,49.83858846,5.768309312,7.204119682,70,1,0,0,1,0.320358276,33.23558426,2,1,1,145.0264893,0,145.0264893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041426,150.0094147,25.43466568,1.24E-05,6.56E-09,1,5,14.00089645,4.998293971,36.18000075,0.0162134,0.002431393,1,-1.32E-08,,,,,,,,,,,,,,,,,,,,,150.0094147,150.0094147,25.43466568,25.43466568,49.83116299,5.768644319,7.213339329,69,1,64,0,0,0.318145752,32.74682236,2,1,1,150.0094147,0,150.0094147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041456,155.0528259,25.43466568,1.24E-05,5.81E-09,1,5,14.00089645,4.998370464,36.20000184,0.016169018,0.002415061,1,-2.04E-08,,,,,,,,,,,,,,,,,,,,,155.0528259,155.0528259,25.43466568,25.43466568,49.67913624,5.768405347,7.230769634,70,1,0,0,1,0.317459106,32.25806427,2,1,1,155.0528259,0,155.0528259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041486,160.0202026,25.43466568,1.23E-05,6.08E-09,1,5,14.00089645,4.998446868,36.21000051,0.016108137,0.002420236,1,-9.62E-09,,,,,,,,,,,,,,,,,,,,,160.0202026,160.0202026,25.43466568,25.43466568,49.69476881,5.767340377,7.236493587,69,1,64,0,0,0.316772461,32.74682236,2,1,1,160.0202026,0,160.0202026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041517,165.0027924,25.43466568,1.23E-05,5.99E-09,1,5,14.00089645,4.998367277,36.2300016,0.01608319,0.002399125,1,-2.26E-08,,,,,,,,,,,,,,,,,,,,,165.0027924,165.0027924,25.43466568,25.43466568,49.73267779,5.768043703,7.25704813,69,1,64,0,0,0.318832397,32.74682236,2,1,1,165.0027924,0,165.0027924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041547,170.0196686,25.43466568,1.23E-05,5.66E-09,1,5,14.00089645,4.998473775,36.24999896,0.01604521,0.002398867,1,-1.85E-08,,,,,,,,,,,,,,,,,,,,,170.0196686,170.0196686,25.43466568,25.43466568,49.81357634,5.767946486,7.268570423,70,1,0,0,1,0.317459106,32.74682236,2,1,1,170.0196686,0,170.0196686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041577,175.0215912,25.43466568,1.23E-05,6.57E-09,1,5,14.00089645,4.998589342,36.26000136,0.015991545,0.002394514,1,-1.57E-08,,,,,,,,,,,,,,,,,,,,,175.0215912,175.0215912,25.43466568,25.43466568,49.71391871,5.767029169,7.279475689,69,1,64,0,0,0.316848755,33.23558426,2,1,1,175.0215912,0,175.0215912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
